TEXTOS EXTRAÍDOS DEL ARCHIVO DXF:
================================================================================
Capas disponibles: 0, TERRENO, LINEAS-DETALLES, TUBO-CONDENSADO-12, LINEAS-TUBO, LAMINA, ABS-HORIZ, ABS-PISADA, FORMATO, FORMATO-2, TXT-PERFIL, CAMISAS, COTA-TER, COTA-CLAVE, TXT-PEND, COTA-FONDO, ALCANTARILLA-PER, VALVULA-VENTEO, MALLA, MALLA2, BARRERA, LINEAS, TUBO-SALMUERA-AS-8, DEFPOINTS, FONDO, FILTROS, DET, ABS-PISADA-T, POSTE-BRINSA, COTA-CLAVE-SAL, CONSTRUCCION, RELLENO, CORTACORRIENTE, PIEDRA-PEGADA, VALVULA-SECCION, SILLETAS, BOX, REVESTIMIENTO, RED-ACUEDUCTO, RED-GAS, RED-ALCANTARILLADO, MARCOS-H, FIBRA_OPTICA, TUBO-CONDENSADO-AS, CENTERLINE
================================================================================


CAPA: ABS-HORIZ
----------------------------------------
  [X=1269.7, Y=25299.9]: K1+270
  [X=1289.7, Y=25299.9]: K1+290
  [X=1309.7, Y=25299.9]: K1+310
  [X=1329.7, Y=25299.9]: K1+330
  [X=1349.7, Y=25299.9]: K1+350
  [X=1379.7, Y=25299.9]: K1+380
  [X=1399.7, Y=25299.9]: K1+400
  [X=1419.7, Y=25299.9]: K1+420
  [X=1439.7, Y=25299.9]: K1+440
  [X=1459.7, Y=25299.9]: K1+460
  [X=1479.7, Y=25299.9]: K1+480
  [X=1499.7, Y=25299.9]: K1+500
  [X=1519.7, Y=25299.9]: K1+520
  [X=1539.7, Y=25299.9]: K1+540
  [X=1559.7, Y=25299.9]: K1+560
  [X=1579.7, Y=25299.9]: K1+580
  [X=1599.7, Y=25299.9]: K1+600
  [X=1612.7, Y=25299.9]: K1+613
  [X=1629.7, Y=25299.9]: K1+630
  [X=1649.7, Y=25299.9]: K1+650
  [X=1669.7, Y=25299.9]: K1+670
  [X=1699.7, Y=25299.9]: K1+700
  [X=1739.7, Y=25299.9]: K1+740
  [X=1759.7, Y=25299.9]: K1+760
  [X=1779.7, Y=25299.9]: K1+780
  [X=1819.7, Y=25299.9]: K1+820
  [X=1839.7, Y=25299.9]: K1+840
  [X=1859.7, Y=25299.9]: K1+860
  [X=1879.7, Y=25299.9]: K1+880
  [X=1899.7, Y=25299.9]: K1+900
  [X=1919.7, Y=25299.9]: K1+920
  [X=1939.7, Y=25299.9]: K1+940
  [X=1959.7, Y=25299.9]: K1+960
  [X=1979.7, Y=25299.9]: K1+980
  [X=1999.7, Y=25299.9]: K2+000
  [X=2039.7, Y=25299.9]: K2+040
  [X=2059.7, Y=25299.9]: K2+060
  [X=2079.7, Y=25299.9]: K2+080
  [X=2099.7, Y=25299.9]: K2+100
  [X=2119.7, Y=25299.9]: K2+120
  [X=2139.7, Y=25299.9]: K2+140
  [X=2159.7, Y=25299.9]: K2+160
  [X=2179.7, Y=25299.9]: K2+180
  [X=2199.7, Y=25299.9]: K2+200
  [X=2219.7, Y=25299.9]: K2+220
  [X=2239.7, Y=25299.9]: K2+240
  [X=2309.7, Y=25299.9]: K2+310
  [X=2349.7, Y=25299.9]: K2+350
  [X=2369.7, Y=25299.9]: K2+370
  [X=2389.7, Y=25299.9]: K2+390
  [X=2399.7, Y=25299.9]: K2+400
  [X=2419.7, Y=25299.9]: K2+420
  [X=2429.7, Y=25299.9]: K2+430
  [X=2439.7, Y=25299.9]: K2+440
  [X=2479.7, Y=25299.9]: K2+480
  [X=2489.7, Y=25299.9]: K2+490
  [X=2494.7, Y=25299.9]: K2+495
  [X=2509.7, Y=25299.9]: K2+510
  [X=2559.7, Y=25299.9]: K2+560
  [X=2619.7, Y=25299.9]: K2+620
  [X=2639.7, Y=25299.9]: K2+640
  [X=2659.7, Y=25299.9]: K2+660
  [X=2669.7, Y=25299.9]: K2+670
  [X=2679.7, Y=25299.9]: K2+680
  [X=2689.7, Y=25299.9]: K2+690
  [X=2709.7, Y=25299.9]: K2+710
  [X=2729.7, Y=25299.9]: K2+730
  [X=2759.7, Y=25299.9]: K2+760
  [X=2779.7, Y=25299.9]: K2+780
  [X=2789.7, Y=25299.9]: K2+790
  [X=2809.7, Y=25299.9]: K2+810
  [X=2829.7, Y=25299.9]: K2+830
  [X=2849.7, Y=25299.9]: K2+850
  [X=2869.7, Y=25299.9]: K2+870
  [X=2889.7, Y=25299.9]: K2+890
  [X=2899.7, Y=25299.9]: K2+900
  [X=2929.7, Y=25299.9]: K2+930
  [X=2949.7, Y=25299.9]: K2+950
  [X=2969.7, Y=25299.9]: K2+970
  [X=2999.7, Y=25299.9]: K3+000
  [X=3079.7, Y=25299.9]: K3+080
  [X=3118.8, Y=25299.9]: K3+119.06
  [X=3144.3, Y=25299.9]: K3+145.06
  [X=3153.2, Y=25299.9]: K3+154
  [X=3182.2, Y=25299.9]: K3+183
  [X=3207.7, Y=25299.9]: K3+208
  [X=3229.7, Y=25299.9]: K3+230
  [X=3249.7, Y=25299.9]: K3+250
  [X=3269.7, Y=25299.9]: K3+270
  [X=3279.7, Y=25299.9]: K3+280
  [X=3299.7, Y=25299.9]: K3+300
  [X=3319.7, Y=25299.9]: K3+320
  [X=3339.7, Y=25299.9]: K3+340
  [X=3359.7, Y=25299.9]: K3+360
  [X=3399.7, Y=25299.9]: K3+400
  [X=3449.7, Y=25299.9]: K3+450
  [X=3499.7, Y=25299.9]: K3+500
  [X=3549.7, Y=25299.9]: K3+550
  [X=3599.7, Y=25299.9]: K3+600
  [X=3619.7, Y=25299.9]: K3+620
  [X=3649.7, Y=25299.9]: K3+650
  [X=3699.7, Y=25299.9]: K3+700
  [X=3719.7, Y=25299.9]: K3+720
  [X=3739.7, Y=25299.9]: K3+740
  [X=3759.7, Y=25299.9]: K3+760
  [X=3779.7, Y=25299.9]: K3+780
  [X=3799.7, Y=25299.9]: K3+800
  [X=3819.7, Y=25299.9]: K3+820
  [X=3849.7, Y=25299.9]: K3+850
  [X=3879.7, Y=25299.9]: K3+880
  [X=3949.7, Y=25299.9]: K3+950
  [X=3969.7, Y=25299.9]: K3+970
  [X=3989.7, Y=25299.9]: K3+990
  [X=4019.7, Y=25299.9]: K4+020
  [X=4039.7, Y=25299.9]: K4+040
  [X=4059.7, Y=25299.9]: K4+060
  [X=4079.7, Y=25299.9]: K4+080
  [X=4099.7, Y=25299.9]: K4+100
  [X=4119.7, Y=25299.9]: K4+120
  [X=4139.7, Y=25299.9]: K4+140
  [X=4159.7, Y=25299.9]: K4+160
  [X=4179.7, Y=25299.9]: K4+180
  [X=4199.7, Y=25299.9]: K4+200
  [X=4230.7, Y=25299.9]: K4+232.00
  [X=4243.6, Y=25299.9]: K4+245.00
  [X=4259.7, Y=25299.9]: K4+260
  [X=4279.7, Y=25299.9]: K4+280
  [X=4299.7, Y=25299.9]: K4+300
  [X=4319.7, Y=25299.9]: K4+320
  [X=4339.7, Y=25299.9]: K4+340
  [X=4359.7, Y=25299.9]: K4+360
  [X=4379.7, Y=25299.9]: K4+380
  [X=4399.7, Y=25299.9]: K4+400
  [X=4419.7, Y=25299.9]: K4+420
  [X=4439.7, Y=25299.9]: K4+440
  [X=4459.7, Y=25299.9]: K4+460
  [X=4479.7, Y=25299.9]: K4+480
  [X=4499.7, Y=25299.9]: K4+500
  [X=4519.7, Y=25299.9]: K4+520
  [X=4539.7, Y=25299.9]: K4+540
  [X=4599.7, Y=25299.9]: K4+600
  [X=4619.7, Y=25299.9]: K4+620
  [X=4639.7, Y=25299.9]: K4+640
  [X=4659.7, Y=25299.9]: K4+660
  [X=4679.7, Y=25299.9]: K4+680
  [X=4699.7, Y=25299.9]: K4+700
  [X=4719.7, Y=25299.9]: K4+720
  [X=4739.7, Y=25299.9]: K4+740
  [X=4759.7, Y=25299.9]: K4+760
  [X=4779.7, Y=25299.9]: K4+780
  [X=4799.7, Y=25299.9]: K4+800
  [X=4819.7, Y=25299.9]: K4+820
  [X=4839.7, Y=25299.9]: K4+840
  [X=4859.7, Y=25299.9]: K4+860
  [X=4879.7, Y=25299.9]: K4+880
  [X=4939.7, Y=25299.9]: K4+940
  [X=4959.7, Y=25299.9]: K4+960
  [X=4979.7, Y=25299.9]: K4+980
  [X=4999.7, Y=25299.9]: K5+000
  [X=5079.7, Y=25299.9]: K5+080
  [X=5099.7, Y=25299.9]: K5+100
  [X=5119.7, Y=25299.9]: K5+120
  [X=5139.7, Y=25299.9]: K5+140
  [X=5159.7, Y=25299.9]: K5+160
  [X=5199.7, Y=25299.9]: K5+200
  [X=5249.7, Y=25299.9]: K5+250
  [X=5269.7, Y=25299.9]: K5+270
  [X=5289.7, Y=25299.9]: K5+290
  [X=5309.7, Y=25299.9]: K5+310
  [X=5329.7, Y=25299.9]: K5+330
  [X=5349.7, Y=25299.9]: K5+350
  [X=5369.7, Y=25299.9]: K5+370
  [X=5389.7, Y=25299.9]: K5+390
  [X=5399.7, Y=25299.9]: K5+400
  [X=5459.7, Y=25299.9]: K5+460
  [X=5479.7, Y=25299.9]: K5+480
  [X=5499.7, Y=25299.9]: K5+500
  [X=5519.7, Y=25299.9]: K5+520
  [X=5532.3, Y=25299.9]: K5+532
  [X=5543.8, Y=25299.9]: K5+544
  [X=5556.1, Y=25299.9]: K5+556
  [X=5560.0, Y=25299.9]: K5+560
  [X=5569.2, Y=25299.9]: K5+569
  [X=5599.1, Y=25299.9]: K5+599
  [X=5613.9, Y=25299.9]: K5+614
  [X=5629.7, Y=25299.9]: K5+630
  [X=5649.7, Y=25299.9]: K5+650
  [X=5669.7, Y=25299.9]: K5+670
  [X=5689.7, Y=25299.9]: K5+690
  [X=5709.7, Y=25299.9]: K5+710
  [X=5729.7, Y=25299.9]: K5+730
  [X=5749.7, Y=25299.9]: K5+750
  [X=5769.7, Y=25299.9]: K5+770
  [X=5789.7, Y=25299.9]: K5+790
  [X=5809.7, Y=25299.9]: K5+810
  [X=5849.7, Y=25299.9]: K5+850
  [X=5899.7, Y=25299.9]: K5+900
  [X=6029.7, Y=25299.9]: K6+030
  [X=6049.7, Y=25299.9]: K6+050
  [X=6069.7, Y=25299.9]: K6+070
  [X=6089.7, Y=25299.9]: K6+090
  [X=6121.7, Y=25299.9]: K6+122
  [X=6141.7, Y=25299.9]: K6+142
  [X=6161.7, Y=25299.9]: K6+162
  [X=6211.7, Y=25299.9]: K6+212
  [X=6231.7, Y=25299.9]: K6+232
  [X=6251.7, Y=25299.9]: K6+252
  [X=6271.7, Y=25299.9]: K6+272
  [X=6291.7, Y=25299.9]: K6+292
  [X=6311.7, Y=25299.9]: K6+312
  [X=6331.7, Y=25299.9]: K6+332
  [X=6351.7, Y=25299.9]: K6+352
  [X=6371.7, Y=25299.9]: K6+372
  [X=6391.7, Y=25299.9]: K6+392
  [X=6411.7, Y=25299.9]: K6+412
  [X=6431.7, Y=25299.9]: K6+432
  [X=6451.7, Y=25299.9]: K6+452
  [X=6471.7, Y=25299.9]: K6+472
  [X=6491.7, Y=25299.9]: K6+492
  [X=6511.7, Y=25299.9]: K6+512
  [X=6531.7, Y=25299.9]: K6+532
  [X=6551.7, Y=25299.9]: K6+552
  [X=6584.1, Y=25299.9]: K6+585
  [X=6601.7, Y=25299.9]: K6+602
  [X=6621.7, Y=25299.9]: K6+622
  [X=6641.7, Y=25299.9]: K6+642
  [X=6661.7, Y=25299.9]: K6+662
  [X=6681.7, Y=25299.9]: K6+682
  [X=6701.7, Y=25299.9]: K6+702
  [X=6721.7, Y=25299.9]: K6+722
  [X=6741.7, Y=25299.9]: K6+742
  [X=6751.7, Y=25299.9]: K6+752
  [X=6772.7, Y=25299.9]: K6+773
  [X=6781.7, Y=25299.9]: K6+782
  [X=6791.7, Y=25299.9]: K6+792
  [X=6811.7, Y=25299.9]: K6+812
  [X=6831.7, Y=25299.9]: K6+832
  [X=6851.7, Y=25299.9]: K6+852
  [X=6870.3, Y=25299.9]: K6+870
  [X=6881.3, Y=25299.9]: K6+881
  [X=6915.4, Y=25299.9]: K6+915
  [X=6951.7, Y=25299.9]: K6+952
  [X=6971.7, Y=25299.9]: K6+972
  [X=6981.7, Y=25299.9]: K6+982
  [X=7001.7, Y=25299.9]: K7+002
  [X=7021.7, Y=25299.9]: K7+022
  [X=7051.1, Y=25299.9]: K7+051
  [X=7061.9, Y=25299.9]: K7+062
  [X=7101.7, Y=25299.9]: K7+102
  [X=7121.7, Y=25299.9]: K7+122
  [X=7141.7, Y=25299.9]: K7+142
  [X=7161.7, Y=25299.9]: K7+162
  [X=7181.7, Y=25299.9]: K7+182
  [X=7201.7, Y=25299.9]: K7+202
  [X=7221.7, Y=25299.9]: K7+222
  [X=7231.7, Y=25299.9]: K7+232
  [X=7241.7, Y=25299.9]: K7+242
  [X=7251.7, Y=25299.9]: K7+252
  [X=7261.7, Y=25299.9]: K7+262
  [X=7271.7, Y=25299.9]: K7+272
  [X=7281.7, Y=25299.9]: K7+282
  [X=7301.7, Y=25299.9]: K7+302
  [X=7311.7, Y=25299.9]: K7+312
  [X=7331.7, Y=25299.9]: K7+332
  [X=7351.7, Y=25299.9]: K7+352
  [X=7389.0, Y=25299.9]: K7+389.31
  [X=7409.0, Y=25299.9]: K7+409.31
  [X=7429.0, Y=25299.9]: K7+429.31
  [X=7457.0, Y=25299.9]: K7+457.29
  [X=7490.0, Y=25299.9]: K7+490.31
  [X=7509.0, Y=25299.9]: K7+509.31
  [X=7530.3, Y=25299.9]: K7+530.57
  [X=7547.2, Y=25299.9]: K7+547.44
  [X=7566.8, Y=25299.9]: K7+567.09
  [X=7586.8, Y=25299.9]: K7+587.09
  [X=7606.8, Y=25299.9]: K7+607.09
  [X=7643.2, Y=25299.9]: K7+643.48
  [X=7663.2, Y=25299.9]: K7+663.48
  [X=7671.5, Y=25299.9]: K7+671.76
  [X=7686.4, Y=25299.9]: K7+686.69
  [X=7706.5, Y=25299.9]: K7+706.73
  [X=7726.5, Y=25299.9]: K7+726.73
  [X=7746.5, Y=25299.9]: K7+746.73
  [X=7766.5, Y=25299.9]: K7+766.73
  [X=7806.5, Y=25299.9]: K7+806.73
  [X=7826.5, Y=25299.9]: K7+826.73
  [X=7846.5, Y=25299.9]: K7+846.73
  [X=7866.5, Y=25299.9]: K7+866.73
  [X=7886.5, Y=25299.9]: K7+886.73
  [X=7906.5, Y=25299.9]: K7+906.73
  [X=7926.5, Y=25299.9]: K7+926.73
  [X=7946.5, Y=25299.9]: K7+946.73
  [X=7966.5, Y=25299.9]: K7+966.73
  [X=7986.5, Y=25299.9]: K7+986.73
  [X=8006.5, Y=25299.9]: K8+006.73
  [X=8026.5, Y=25299.9]: K8+026.73
  [X=8046.5, Y=25299.9]: K8+046.73
  [X=8066.5, Y=25299.9]: K8+066.73
  [X=8086.5, Y=25299.9]: K8+086.73
  [X=8106.5, Y=25299.9]: K8+106.73
  [X=8126.5, Y=25299.9]: K8+126.73
  [X=8148.3, Y=25299.9]: K8+148.6
  [X=8161.6, Y=25299.9]: K8+161.87
  [X=8186.5, Y=25299.9]: K8+186.73
  [X=8208.8, Y=25299.9]: K8+209.08
  [X=8225.8, Y=25299.9]: K8+226.03
  [X=8246.5, Y=25299.9]: K8+246.73
  [X=8286.5, Y=25299.9]: K8+286.73
  [X=8325.0, Y=25299.9]: K8+325.24
  [X=8346.5, Y=25299.9]: K8+346.73
  [X=8366.5, Y=25299.9]: K8+366.73
  [X=8386.5, Y=25299.9]: K8+386.73
  [X=8406.5, Y=25299.9]: K8+406.73
  [X=8426.5, Y=25299.9]: K8+426.73
  [X=8453.9, Y=25299.9]: K8+454.17
  [X=8466.5, Y=25299.9]: K8+466.73
  [X=8486.5, Y=25299.9]: K8+486.73
  [X=8516.3, Y=25299.9]: K8+516.60
  [X=8566.5, Y=25299.9]: K8+566.73
  [X=8586.5, Y=25299.9]: K8+586.73
  [X=8606.5, Y=25299.9]: K8+606.73
  [X=8626.5, Y=25299.9]: K8+626.73
  [X=8673.5, Y=25299.9]: K8+673.75
  [X=8693.3, Y=25299.9]: K8+693.68
  [X=8711.2, Y=25299.9]: K8+711.68
  [X=8715.9, Y=25299.9]: K8+716.18
  [X=8735.9, Y=25299.9]: K8+736.18
  [X=8753.0, Y=25299.9]: K8+754.43
  [X=8775.9, Y=25299.9]: K8+776.18
  [X=8795.9, Y=25299.9]: K8+796.18
  [X=8820.9, Y=25299.9]: K8+821.16
  [X=8825.1, Y=25299.9]: K8+825.37
  [X=8835.9, Y=25299.9]: K8+836.18
  [X=8855.9, Y=25299.9]: K8+856.18
  [X=8875.9, Y=25299.9]: K8+876.18
  [X=8895.9, Y=25299.9]: K8+896.18
  [X=8915.9, Y=25299.9]: K8+916.18
  [X=8955.9, Y=25299.9]: K8+956.18
  [X=8975.9, Y=25299.9]: K8+976.18
  [X=8995.9, Y=25299.9]: K8+996.18
  [X=9015.9, Y=25299.9]: K9+016.18
  [X=9025.9, Y=25299.9]: K9+026.18
  [X=9045.9, Y=25299.9]: K9+046.18
  [X=9065.9, Y=25299.9]: K9+066.18
  [X=9085.9, Y=25299.9]: K9+086.18
  [X=9105.9, Y=25299.9]: K9+106.18
  [X=9125.9, Y=25299.9]: K9+126.18
